Row #,Species,Count,Location,S/P,Date,LocID,SubID
326,American Robin,30,Redwood Regional Park (CC Co.),US-CA,01 Jan 2019,L500405,S51180664
327,Cedar Waxwing,20,Coyote Hills Regional Park,US-CA,08 Jan 2019,L216132,S51475224
328,Phainopepla,3,Del Valle Regional Park,US-CA,24 Jan 2019,L274775,S52009828
329,Northern Red Bishop,1,Shoreline Park--maintenance area,US-CA,06 Jul 2019,L9545661,S57975589
330,Scaly-breasted Munia,2,Lake Los Carneros Park,US-CA,27 Mar 2019,L336013,S54288082
331,House Sparrow,8,Richmond Marina,US-CA,20 Jan 2019,L615495,S51878447
332,Red-throated Pipit,1,Stephen Sorensen Park (Desert Avicaching),US-CA,05 Nov 2019,L1563110,S61205241
333,American Pipit,1,Coyote Hills Regional Park,US-CA,08 Jan 2019,L216132,S51475224
334,Evening Grosbeak,50,"1835 West Lake Boulevard, Tahoe City, California, US (39.139, -120.155)",US-CA,17 Nov 2019,L10165887,S61524792
335,Pine Grosbeak,2,"Pacific Crest Trail, Olympic Valley, California, US (39.077, -120.235)",US-CA,13 Aug 2019,L7773344,S58995052
336,Gray-crowned Rosy-Finch,2,Aspendell,US-CA,28 Jul 2019,L720854,S58536112
337,House Finch,1,Coyote Hills Regional Park,US-CA,08 Jan 2019,L216132,S51475224
338,Purple Finch,1,Heather Farm Park,US-CA,11 Jan 2019,L373922,S51558311
339,Cassin's Finch,6,Angeles NF--Throop Peak/Dawson Saddle Trail,US-CA,30 May 2019,L746089,S56985213
340,Red Crossbill,10,Inyo Craters,US-CA,28 Jul 2019,L1626869,S58523175
341,Pine Siskin,6,Virginia Lakes Resort,US-CA,15 Jun 2019,L3799022,S57458055
342,Lesser Goldfinch,2,Fort Mason Park,US-CA,10 Jan 2019,L389606,S51529289
343,Lawrence's Goldfinch,2,Frank G. Bonelli RP/Puddingstone Reservoir and Surrounding Area,US-CA,24 Mar 2019,L815817,S54294259
344,American Goldfinch,3,Heather Farm Park,US-CA,11 Jan 2019,L373922,S51558311
345,Lapland Longspur,2,Pt. Reyes--Abbotts Lagoon,US-CA,28 Oct 2019,L218324,S61008498
346,Cassin's Sparrow,2,"Mojave National Preserve--Cedar Canyon Road, 0-3 miles west of Lanfair Road (MM 18-21)",US-CA,13 Jun 2019,L9201880,S57445646
347,Grasshopper Sparrow,1,Garin/Dry Creek Pioneer Regional Park,US-CA,07 Apr 2019,L381784,S54686143
348,Chipping Sparrow,1,"(37.854, -122.255)",US-CA,18 Jan 2019,L8450953,S51798301
349,Clay-colored Sparrow,1,Crown Point--east side,US-CA,11 Oct 2019,L1296456,S60533247
350,Black-chinned Sparrow,2,Angeles Crest Hwy--Barley Flats Road,US-CA,30 May 2019,L3301823,S56985177
351,Brewer's Sparrow,1,Joshua Tree NP--Smoke Tree Wash,US-CA,25 Mar 2019,L4614517,S54260048
